Update needed in DBASE,"Type of Update (Birth, Death, Weaning, Sex)",MaternalHaplotypes,MaternalForagingType,Primary Location,MomName,MomID,CalfName,CalfID,SurviveTo3,WeaningAgeKnown,IBI,WeanToSurvivingcalfInterval,WeantoSurvivingCalfCensored,"First,Early,InBetween,Last,Unknown (FENLU)",LastSurvivingCalf,GrandmaKnown,LastSightingCalf,LastSightingMother,Obs1Calf,Obs1Mom,AssignedBDay,45104,BDayAccuracy,PrimaryBdayEstimateReason,SecondaryBdayEstimateReason,WhoAssignedBDay,MotherLastSeenBeforeCalfBirth,Interval between mothers last sighting,Calf's age at first sight,Obs2,FirstCalfSight,NotesCalfSizeBehavior,Obs3,CalfLastBP,Obs4,MumLastWLiveCalf,Obs5,MumWOCalf,Obs6,DeathDate,DeathAgeYrs,GapSightings,GapSightingsDivide2,DeathDateAccuracy,DeathDateReason1,DeathDateReason2,DeathNotes,WhoDetermineDeathDate,WeaningDateAccuracy,WeanDateReason1,WeaningDateReason2,WhoDetermineWeanDate,LastWMum80%Surveys,NotBPorWOMum50%Surveys,,WeaningDate,WeaningAgeDays,WeaningAgeMonths,WeaningAgeYears,WeanNotes,DoWStatus,Shae/EKWeaningDateNotes2010,ShaeMatrilinesNotesAug2012,CBKMatrilinesNotes2013
N,,E ,N,WHALE BIGHT,AMOK,AMO,ASTRAY,ASY,y,y,,,,f,,,,18-Sep-15,,EK,01/01/2013,10.5,WeekEstimate,InfantFirstSight,,JM,14-Sep-12,0.69,0.39,EK,23-May-13,JM estimated 4-5 mos old; range 15dec12 to 15jan13,JM,18-Sep-15,EK,,,,,,,,,,,,,,MonthEstimate,Midpoint,"ASY last seen in bp on 18-Sep-15 by EK, also last sighting of AMO; ASY seen 25-Aug-18 by TCC; think AMO died and ASY orphaned",JM,18-Sep-15,25-Aug-18,1072,1-May-16,1216,39.86885246,3.322404372,"ASY last seen in bp on 18-Sep-15 by EK, also last sighting of AMO; ASY seen 25-Aug-18 by TCC think AMO died and ASY orphaned",,,,
N,,A ,N,WHALE BIGHT,AMP,AMP,DERBY,DER,y,n,,,,e,,,,,,,01/11/1998,25,YearEstimate,MotherFirstSightWithCalf,,JM,,,0.8,,22-Aug-99,in bp,JJW,10-Nov-01,JJW,,,,,,,,,,,,,,YearEstimate,SiblingBirth,DefaultDate,JM,10-Nov-01,23-Jul-02,255,1-May-02,1277,41.86885246,3.489071038,No age info in 2001 but based on PRS's age giving default 2002 wean date,,,,
N,,A ,N,WHALE BIGHT,AMP,AMP,PARIS,PRS,y,y,,,,n,,,,,,,01/11/2002,21,MonthEstimate,SpringSummerYoy,,JM,23-Jul-02,1.25,0.97,JM,21-Oct-03,seen 9Jul05 RCC (without AMP? No pics of AMP and says group of juvies..) in a group of juveniles with DER,RCC,5-Oct-04,MK,,,,,,,,,,,,,,MonthEstimate,Reduced MC Association,,JM,24-Oct-04,9-Jul-05,258,1-May-05,912,29.90163934,2.491803279,Could have been weaned earlier,,,,
N,,A ,N,WHALE BIGHT,AMP,AMP,VAULT,VLT,y,y,,,,n,,,,,,,01/12/2006,17,MonthEstimate,Gap,,JM,9-Nov-06,2.59,2.53,RCC,12-Jun-09,estimated 2 yrs old in 2009. amp last sighted before calf birth in 2006,JM,19-Oct-10,EK,,,,,,,,,,,,,,MonthEstimate,Midpoint,,SAS,19-Oct-10,1-Nov-11,378,26-Apr-11,1607,52.68852459,4.390710383,Vault in bp with Amp 19-Oct-10 and without mom 1-Nov-11.  Amp was with males 19-Oct-10.,,,,
N,,A ,N,WHALE BIGHT,AMP,AMP,ROCKSTAR,RKS,y,y,,,,n,,,,,,,01/11/2011,12,MonthEstimate,SpringSummerYoy,,EK JM,19-Oct-10,2.76,1.73,EK,24-Jul-13,est 2 yrs by EK 22-Nov-13,MMW,14-Jun-17,VF,,,,,,,,,,,,,,MonthEstimate,Reduced MC Association,SiblingBirth,EK,14-Jun-17,26-Sep-17,104,5-Aug-17,2104,68.98360656,5.74863388,,,,,
N,,A ,N,WHALE BIGHT,AMP,AMP,WATTS,WAT,u,n,,,,,,,21-Sep-18,21-Sep-18,,,15/11/2017,6,DayEstimate,InfantFirstSight,,EK JM,6-Oct-17,0.14,0.03,CBK,27-Nov-17,"folds, df slightly wavy, most in ech and by eye, but 1-5 min bp, infant tilts on side to nrs, normal surfacing",CBK,23-Nov-19,MHM,23-Nov-19,MHM,21-Apr-22,JM MHM,,,,,,,,,,YearEstimate,DefaultDate,Gap,JM VF,23-Nov-19,21-Apr-22,880,1-May-21,,,,Watts last seen with Amp on 23-Nov-19. Amp seen without Watts on 21-Apr-22,,,,
Y,B,A ,N,WHALE BIGHT,AMP,AMP,JOULE,JLE,still alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,N,EAST,ARIES,ARI,CANCER,CNC,n,d,,,,e,,,5-Jul-04,,MK,,01/11/2003,20,MonthEstimate,SpringSummerYoy,,MK,,,0.68,,5-Jul-04,yoy,MK,5-Jul-04,MK,5-Jul-04,MK,17-Jul-04,RCC,11/07/2004,0.693,12,6,DayEstimate,Midpoint,,afARI with males 17-Jul-04 and no sign of CNC,JM,,,,,,,,,,,,,,,,
N,,,N,EAST,ARIES,ARI,PISCES,PSC,u,n,,,,n,,,19-Jun-06,,EK,,01/11/2005,18,MonthEstimate,SpringSummerYoy,,EK,15-Aug-05,0.84,0.63,RCC,19-Jun-06,,EK,19-Jun-06,EK,19-Jun-06,EK,,,01/05/2007,1.496,,,Unknown,Gap,,neither ARI nor PSC sighted since 19-Jun-06,SAS,,,,,,,,,,,,,DEAD OR WEANED,,,
N,,,N,EAST,ARIES,ARI,GEMINI,GEM,n,d,,,,wait until 2023,,,27-Oct-12,,EK,,01/03/2012,11,MonthEstimate,InfantFirstSight,,EK,19-Jun-06,5.97,0.27,EK,8-Jun-12,"calf is ~3 months, no fetal lines, dorsal erect, normal weight, few echelon, eye and bp 31-60 sec",EK,,,27-Oct-12,EK,9-Jul-13,MMW,03/03/2013,1.007,255,128,MonthEstimate,Midpoint,,ARI seen once in 2013 in resting group with males,JM,,,,,,,,,,,,,,,,
N,,H,S,EAST,ASHTON,ASN,MILA,MLA,n,d,,,,,,,,,,,10/12/2018,,DayEstimate,InfantFirstSight,,EK,18-Oct-18,0.15,0.01,TCC,13-Dec-18,"fetal folds, df slanted, in ech, synching with mom, looks healthy",DIC,,,13-Dec-18,DIC,19-May-19,TCC VF,01/03/2019,0.223,157,79,MonthEstimate,Midpoint,,,JM,,,,,,,,,,,,,,,,
N,,H,S,EAST,ASHTON,ASN,TATE,TTE,still alive,,,,,,,,,,,,01/10/2020,,MonthEstimate,InfantFirstSight,,JM VF,7-Sep-20,0.26,0.19,CCC,10-Dec-20,"rangers said they maybe saw Ashton with a new calf around 10-Dec-20, CCC confirmed 23-Jan-21, JM estimated 4 months based on January photos",DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,N,WHALE BIGHT,ATTICUS,ATC,FINCH,FCH,y,n,,,,u,,,,,,,01/11/2011,12,MonthEstimate,SpringSummerYoy,,JM,23-Jun-11,1.04,0.68,,7-Jul-12,ATC's calf (2012); sighted during 29-Oct-12 survey but unsure if it was present during 7-Jul-12 survey (may have been one of the yoys that joined the group) JM gave default date,JM,17-Jan-16,CCC,,,,,,,,,,,,,,YearEstimate,Midpoint,,EK,17-Jan-16,27-Jun-18,892,1-May-16,1643,53.86885246,4.489071038,could have weaned off in 2017!,,,,
N,,E ,N,WHALE BIGHT,ATHENA,ATH,ARTEMIS,ART,y,n,4.002739726,0.567123288,n,f,,,8-May-05,,QAG,,01/11/1999,24,YearEstimate,MotherFirstSightWithCalf,,JJW,,,1.69,,9-Jul-01,"Looks young, yoy or 2 - jjw on 9Nov01",RCC,4-Nov-02,JJW,9-Jan-03,AS,2-May-03,LAB,,,113,57,,,,,,YearEstimate,BirthdateUncertain,SiblingBirth,JM,9-Jan-03,6-Jul-03,178,8-Apr-03,1254,41.1147541,3.426229508,but birthday could be one year earlier;guessing b-day is at or before 1999 b/c seen in 2001 and no size info mentioned-usually means not a yoy.,,,,
N,,E ,N,WHALE BIGHT,ATHENA,ATH,APOLLO,APO,y,y,5.975342466,1,y,n,,,,,,,01/11/2003,20,MonthEstimate,SpringSummerYoy,,AKC,26-Oct-03,0.9,0.88,JJW,18-Sep-04,Yoy. ESTIMATED B-DAY DEC 03 B/C SIGHTED NEAR THE BEGINNING OF NOV (OCT 26) WITH NO CALF AND NO MENTION OF VERY PREGNANT ANIMAL;,AKC,9-Nov-06,SR IW,25-May-07,EK,26-Jul-07,EK,,,,,,,,,,WeekEstimate,Midpoint,,SAS,25-May-07,26-Jul-07,62,25-Jun-07,1332,43.67213115,3.639344262,bp not noted during 25-May-07,,,,
N,,E ,N,WHALE BIGHT,ATHENA,ATH,ATLAS,ATL,n,d,,,,n,,,,,,,21/10/2009,14,WeekEstimate,InfantFirstSight,,EK MAS,9-Aug-07,2.24,0.04,MAS,4-Nov-09,2-3 wks.lumpy fetal folds,EK MAS,4-Nov-09,EK MAS,4-Nov-09,EK MAS,29-Jul-10,EMP,17/03/2010,0.404,267,134,MonthEstimate,Midpoint,,dead preweaning,SAS,,,,,,,,,,,,,,,,
N,,E ,N,WHALE BIGHT,ATHENA,ATH,PERSEPHONE,PSP,y,y,,,,,,,,,,,20/10/2011,12,DayEstimate,InfantFirstSight,,EK,15-Sep-11,0.1,0.01,EK,23-Oct-11,"had folds and was lumpy, df trailing edge wavy, sunken at neck, corking up and chin-slapping, mostly in ech, few by eye, bp not seen, was mnd a little from mum, think its 2-5 days old",EK,9-Jun-15,EK,,,28-Jun-15,MLM,,,,,,,,,,WeekEstimate,Midpoint,,JM,9-Jun-15,28-Jun-15,19,18-Jun-15,1337.5,43.85245902,3.654371585,,,,,
N,,,N,GUICH FLATS,ATWOOD,ATW,QWERTY,QWE,y,n,,,,e,,,16-Sep-06,,RCC,,01/11/2000,23,YearEstimate,MotherFirstSightWithCalf,,JJW,,,2.98,,25-Oct-03,"QWE looks about 2-3 years old, very close to mother; est 3 yrs bc mom w/ males at first sight-SAS",JJW,,,25-Oct-03,JJW,19-Sep-04,MK,,,,,,,,,,MonthEstimate,Midpoint,,SAS,25-Oct-03,19-Sep-04,330,7-Apr-04,1253,41.08196721,3.423497268,,,,,
N,,,N,GUICH FLATS,ATWOOD,ATW,CAPOTE,CPT,n,d,,,,,,,20-Nov-14,,MMW,,01/10/2014,9,WeekEstimate,InfantFirstSight,,JM MMW,26-Sep-14,0.15,0.13,MMW,18-Nov-14,"Whitney told MMW on 4-Oct-14 that saw calf. Fetal lines, bigger than EDN at firt sighting of each",MMW,20-Nov-14,MMW,20-Nov-14,MMW,23-Dec-14,MMW,06/12/2014,0.182,33,,WeekEstimate,DeadPreWeaning,,,CBK,,,,,,,,,,,,,,,,
N,,,N,GUICH FLATS,ATWOOD,ATW,OFFRED,OFR,n,d,,,,,,,,,,,01/11/2021,2,MonthEstimate,SpringSummerYoy,,JM,8-Nov-19,2.46,0.48,MHM,24-Apr-22,6-8 months,JM MHM,24-Apr-22,JM MHM,24-Apr-22,JM MHM,19-May-22,JM VF,06/05/2022,,,,WeekEstimate,DeadPreWeaning,,,,,,,,,,,,,,,,,,,
N,,E,N,WHALE BIGHT,BADGHOST,BAD,POLTERGEIST,POL,y,y,4.002739726,0.820547945,n,f,,,,,,,01/11/1994,29,MonthEstimate,SpringSummerYoy,,JM,29-Jun-94,1.05,0.71,RCC,18-Jul-95,"No size information, but probably calf is summer 94-95",RCC,13-Aug-97,RCC,31-May-98,MK,24-Jul-98,MRH,,,54,27,,,,,,WeekEstimate,Midpoint,SiblingBirth,JM,13-Aug-97,31-May-98,291,5-Jan-98,1161.5,38.08196721,3.173497268,based on last BP (survey) and first BAD alone (survey),,,,
N,,E,N,WHALE BIGHT,BADGHOST,BAD,BANSHEE,BAS,y,y,3.969863014,2.793150685,n,n,,,,,,,01/11/1998,25,MonthEstimate,SpringSummerYoy,,JM,2-Oct-98,0.73,0.64,AS,24-Jun-99,,JM,25-May-02,LAB,25-May-02,lab,22-Jul-02,RCC,,,58,29,,,,,,WeekEstimate,Midpoint,SiblingBirth,JM,1-Jul-02,1-Aug-02,31,16-Jul-02,1353.5,44.37704918,3.698087432,,,,,
N,,E,N,WHALE BIGHT,BADGHOST,BAD,SPOOK,SOK,n,d,2.531506849,,,n,,,9-Oct-03,,JJW,,20/10/2002,21,WeekEstimate,InfantFirstSight,,JJW,30-Sep-02,0.1,0.04,RCC,4-Nov-02,"seen 4NOV2002 JJW 16:37 survey doing chin ups, with fetal lines, about 2 wks old, less than one month old, swimming in echelon position and BP. JJW digital film 2002 F2325, 2330, 2342, 2343, 2351, 2352, 2357, 2358, 2394",JJW,9-Oct-03,JJW,9-Oct-03,JJW,22-Mar-04,QAG,30/12/2003,1.196,165,83,MonthEstimate,Midpoint,,,JM,,,,,,,,,,,,,,,,
N,,E,N,WHALE BIGHT,BADGHOST,BAD,GHOUL,GHL,y,y,,,,n,,,,,,,01/05/2005,18,MonthEstimate,InfantFirstSight,,RCC,23-Mar-05,0.41,0.31,QAG,21-Aug-05,only a few months old,RCC,22-Jun-09,JM,,,,,,,,,,,,,JM,WeekEstimate,Reduced MC Association,SiblingBirth,JM,22-Jun-09,18-Jul-09,26,5-Jul-09,1526,50.03278689,4.169398907,,,,,
N,,E,N,WHALE BIGHT,BADGHOST,BAD,SÉANCE,SEN,n,d,,,,n,,,,,,,15/10/2009,14,WeekEstimate,InfantFirstSight,,MAS,18-Jul-09,0.3,0.05,YJT,4-Nov-09,"calf estimated to be 3 weeks old, fetal lines",MAS,4-Nov-09,MAS EK,4-Nov-09,MAS EK,29-Jul-10,EMP,17/03/2010,0.421,267,134,MonthEstimate,SiblingBirth,,,SAS,,,,,,,,,,,,,,,,
N,,E,N,WHALE BIGHT,BADGHOST,BAD,YETI,YTI,n,d,,,,,,,,,,,12/09/2011,12,DayEstimate,InfantFirstSight,,EK,23-Sep-10,0.98,0.01,EK,15-Sep-11,"BAD has a very new one ~3days old no older than a week on 15-Sep-11 - still had folds, lumpy, df erect but wavy on trailing edge, weight normal, corking up and chin-slapping, mostly in echelon, few bp, few at eye, tilts on side for nursing, not touring with another",EK,10-Oct-12,EK,10-Oct-12,EK,19-May-13,JM,28/01/2013,1.382,221,111,MonthEstimate,Midpoint,,,JM,,,,,,,,,,,,,,,,
N,,E,N,WHALE BIGHT,BADGHOST,BAD,SPECTER,SPR,n,d,,,,,,,13-Dec-18,13-Dec-18,,,01/12/2018,,WeekEstimate,InfantFirstSight,,EK,6-Nov-17,1.1,0.03,CBK,13-Dec-18,"fetal lines, ech, not sync in photo, df erect. Range 15-Nov-1-Dec-18",DIC,,,13-Dec-18,,24-Sep-19,MHM,04/05/2019,,,,MonthEstimate,DeadPreWeaning,Midpoint,BAD seen without SPR on 24Sep19 by MHM,JM,,,,,,,,,,,,,,,,
N,,A ,N,WHALE BIGHT,BANGLE,BAN,BAUBLE,BAU,u,n,,,,e,,,1-May-91,,AFR,,01/11/1989,34,YearEstimate,MotherFirstSightWithCalf,,JM,,,1.49,,1-May-91,"afr photo in 1991 catalogue; mother is identifiable, calf looks a little like sbo; JM estimates age by photo",DDD,,,1-May-91,DDD,11-Oct-91,JM,21/07/1991,1.719,163,82,Unknown,DefaultDate,BirthdateUncertain,No date on photo; assigned photo date to 1-may-91,JM,,,,,,,,,,,,No date on photo; assigned photo date to 1-may-91; FLC deleted it was NIR,,not in surveys,,
N,,E,N,EAST,BAYOU,BAY,CEEYA,CYA,y,y,,,,f,,y,,12-Jun-06,,JM EK,01/11/2001,22,MonthEstimate,SpringSummerYoy,,LAB,27-Sep-01,0.47,0.38,RW,19-Mar-02,"25-apr-02-lab: no fetal marks, df erect, eyes open, normal surfacings, most surfacings synch with mom, mostly echelon with mom, bp 1-5 minutes, min and max distance - always bp, no touring",LAB,1-Dec-04,AKC,1-Dec-04,AKC,27-Mar-05,QAG,,,116,58,,,,,,MonthEstimate,Midpoint,,JM,1-Dec-04,27-Mar-05,116,28-Jan-05,1184,38.81967213,3.234972678,midpoint,,,,
N,,  ,P,RED CLIFF BAY,BEAUTIFUL,BEA,BIBI,BIB,y,n,,,,u,y,,12-Feb-89,1-May-82,DIC,DIC,01/11/1975,48,MonthEstimate,SpringSummerYoy,,JM,1-May-75,-75.33,-75.84,DIC,,Masons would be observers,DIC,,,,,,,15/02/1989,13.301,,,WeekEstimate,StoppedSightingPostWeaning,,Septicemia,JM,YearEstimate,DefaultDate,SiblingBirth,,,,,1-May-81,2008,65.83606557,5.486338798,BIB likely weaned earlier; Date based on assumption that BIB weaned when BEA pregnant with GLD,,,,
