Dolphin ID,Dolphin Name,Temporary Dolphin Ind,Sex,Sex Certainty,Mother ID,Birth Date Accuracy,Birth Date,Birth Date Earliest,Birth Date Latest,Birth Date Primary Reason,Birth Date Secondary Reason,Birth Date Primary Assigner,Birth Date Secondary Assigner,Birth Notes,Death Date Accuracy,Death Date,Death Date Primary Reason,Death Date Secondary Reason,Death Date Calc Type,Death Date Primary Assigner,Death Date Secondary Assigner,Death Notes,Weaning Date Accuracy,Weaning Date,Weaning Date Primary Reason,Weaning Date Secondary Reason,Weaning Date Calc Type,Weaning Date Primary Assigner,Weaning Date Secondary Assigner,Weaning Age Known,Weaning Notes,Last Seen Year,Dolphin Notes
AUR,AURORA,FALSE,UNKNOWN,,MFC,YEAR ESTIMATE,11/01/2002,11/1/2001,11/1/2002,,,JM,,,,,UNCERTAIN SURVIVAL STATUS PREWEANING,OVER 3 YEARS,,,,Calf not distinctive so uncertain if survived to weaning or post-weaning.,,,,,,,,NO,,,RCC mentioned yoy in survey but didn't specify which calf was a yoy. JM estimates yoy or 1.5 yrs based on photos.
AVA,AVATAR,FALSE,UNKNOWN,,RIP,MONTH ESTIMATE,15/11/2020,10/1/2020,12/1/2020,INFANT FIRST SIGHT,,JM,VF,"Ripley was last seen June 5th, 2020 and first seen with Avatar on March 16th, 2021. JM estimates 4 to 5 months",MONTH ESTIMATE,09/06/2021,DEAD PREWEANING,,MIDPOINT,JM,VF,"DIC sent a photo from Aristocat of Ripley with a fresh shark bite 6-May-21, and they said she had a calf with her then but didn’t have photos of it. SK emailed to say Ripley was still alive but no Avatar on 13-Jul-21",,,,,,,,,,,
AVE,AVEY,FALSE,,,EVA,YEAR ESTIMATE,11/01/1985,,,MOTHER FIRST SIGHT WITH CALF,,RAS,,SEE 1991 CATALOGUE; EVA ID IN 1987 WITH CALF ESTIMATE BORN 1985,YEAR ESTIMATE,01/05/1991,SIGHTING RECORD POOR,BIRTH DATE UNCERTAIN,DEFAULT DATE,JM,,"EVA and AVEY seen only once in 1987 by RAS and we have no sighting records to base anything on, but calf was a bit older and could have survived and could be anyone.",,,,,,,,NO,,,
AZT,AZTEC,FALSE,,,,YEAR ESTIMATE,11/01/1985,11/1/1956,11/1/1985,ASSIGNED 10 YRS,,,,No good information.,YEAR ESTIMATE,01/05/1999,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,,,,,,,,,,,,
AZU,AZURE,FALSE,MALE,HIGH,IND,MONTH ESTIMATE,11/01/2012,9/15/2012,12/1/2012,,,MMW,,approx 1 year (MMW) but a little younger based on sighting record for IND (JM); Entered by CBK,,,,,,,,,MONTH ESTIMATE,1/3/2016,,,MIDPOINT,EK,,YES,,,
BAC,BACON,FALSE,,,MIS,YEAR ESTIMATE,11/01/1993,,,GAP,,JM,,OLDER CALF IN 95-ABOUT 2YRS BASED ON PHOTOS (JM),,,STOPPED SIGHTING POST WEANING,,,,,,YEAR ESTIMATE,5/1/1998,,GAP,DEFAULT DATE,JM,,NO,"AT LEAST 3, NOT SEEN SINCE",1997,
BAD,BADGHOST,FALSE,FEMALE,HIGH,,MONTH ESTIMATE,11/01/1982,11/1/1981,11/1/1982,SSSS,REPRODUCTIVE AGE,EK,JM,Was a juvenile in early 90s and could not have been older than 10 at first ID.,,,,,,,,,,,,,,,,,,2007,
BAG,BAGEL,FALSE,MALE,HIGH,BIS,MONTH ESTIMATE,11/01/1996,,,SPRING SUMMER YOY,,JM,,YOY,,,,,,,,,WEEK ESTIMATE,2/25/2003,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,,2004,
BAI,BAILER,FALSE,MALE,HIGH,SCA,DAY ESTIMATE,27/10/2010,10/23/2010,10/31/2010,,,EK,,,,,,,,,,,MONTH ESTIMATE,1/25/2016,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,,,EK est 1 week
BAK,BAKER,FALSE,MALE,HIGH,,,11/01/1989,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,2007,
BAL,BALMY,FALSE,,,SOG,DAY ESTIMATE,15/11/2004,,,INFANT FIRST SIGHT,,RCC,,"ECHELON, FETAL FOLDS, VERY YOUNG, LUMPY",WEEK ESTIMATE,29/11/2004,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,2004,
BAM,BAMBAM,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1967,11/1/1965,11/1/1970,SSSS,ALLIANCE,EK,JM,In alliance in 1985.,MONTH ESTIMATE,01/05/2008,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,JM,,Seen every year before.,,,,,,,,,,2004,
BAN,BANGLE,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1976,11/1/1969,11/1/1976,REPRODUCTIVE AGE,SSSS,EK,JM,Has quite a few speckles on DF in 2001 and is very speckled in 2009 so she was probably at least 25 in 2001 but likely to be early 30s. Was called adult in 1991 catalogue.,YEAR ESTIMATE,01/05/2012,OVER 3 YEARS,,DEFAULT DATE,JM,,Some gaps in her sighting record but consistently seen 1997 onward with some 2 year gaps. She is also pretty old.,,,,,,,,,,2006,
BAP,BAP,FALSE,,,,YEAR ESTIMATE,11/01/1977,11/1/1957,11/1/1977,SSSS,,EK,JM,Seems to have specks on DF in bad photo from 1997.,,,,,,EK,JM,,,,,,,,,,,,
BAR,BARNEY,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1972,,,91CAT,,,,,MONTH ESTIMATE,01/05/2014,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,EK,JM,seen every year and still saw his alliance members often in subsequent years.,,,,,,,,,,2007,
BAS,BANSHEE,FALSE,MALE,HIGH,BAD,MONTH ESTIMATE,11/01/1998,,,SPRING SUMMER YOY,,JM,,,MONTH ESTIMATE,01/05/2006,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,EK,JM,,WEEK ESTIMATE,7/16/2002,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,YES,,2005,
BAT,BATBABY,FALSE,,,TAB,MONTH ESTIMATE,11/01/1988,,,SPRING SUMMER YOY,,JM,,YOY (PHOTO JM),MONTH ESTIMATE,08/12/1989,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,1989,
